,X,Rk,Player,Nation,Pos,Squad,Rank,Age,Born,MP,Starts,Min,X90s,Goals,Shots,SoT,SoT.,G.Sh,G.SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp.,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp.,PasMedCmp,PasMedAtt,PasMedCmp.,PasLonCmp,PasLonAtt,PasLonCmp.,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri.,TklDriPast,Press,PresSucc,Press.,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl.Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc.,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec.,RecProg,CrdY,CrdR,X2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon.
426,2117,2117,German Pezzella,ARG,CB,Betis,B,30,1991,23,22,1988,22.1,0.05,0.81,0.27,33.3,0.06,0.17,11.1,0,0,0,41.2,47.1,87.5,884.6,244.1,11.4,12.5,90.6,22.4,24.1,93,7.24,10,72.1,0,0,0.9,0.18,0,1.04,47.1,44.5,2.58,2.44,0,3.98,1.09,0.09,0,0,0,0,37.1,3.03,7.01,7.1,35,2.76,0.14,0.23,41.2,0.18,0.77,0.36,0.32,0.18,0.14,0,0,0.05,0,0,0.05,0,0,0,0.05,0,0,1.31,0.9,1.04,0.23,0.05,0.54,1.27,42.9,0.72,6.88,2.22,32.2,4.16,2.58,0.14,1.76,0.77,0,1,2.22,3.53,4.71,0.05,57.4,9.1,33.9,24.3,1.54,1.13,54.9,0.14,0.14,100,0.14,0,32.9,121.9,47.3,0.9,0,0,0.05,0.14,36.9,36.2,98.2,0.27,0.23,0.05,0,1.36,0.36,0.09,0.09,0.9,0,0,0.05,7.69,3.44,1.63,67.9
428,2133,2133,Amos Pieper,GER,CB,Arminia,B,24,1998,27,27,2379,26.4,0,0.53,0.08,14.3,0,0,15.5,0,0,0,34.3,42.5,80.6,795.8,243.8,7.05,8.45,83.4,20.1,22.4,89.8,6.89,11.3,61.3,0,0.19,2.23,0.23,0.08,2.01,42.5,40.7,1.86,1.25,0,4.51,0.8,0.15,0,0,0,0,28.5,3.14,10.9,6.17,30.5,3.79,0.3,0.08,34.3,0.11,0.91,0.57,0.23,0.49,0.34,0,0,0.08,0,0.08,0,0,0,0,0,0,0,1.97,1.06,1.29,0.64,0.04,0.76,1.67,45.5,0.91,9.58,3.71,38.7,5.38,3.83,0.38,1.89,0.95,0,0.95,2.39,4.36,6.44,0.08,55.3,9.05,35.5,20.8,1.7,0.61,53.6,0.11,0.11,100,0.11,0,27.1,142.3,67.6,1.17,0.15,0,0.15,0.15,30.2,29.9,98.9,0.11,0.08,0,0,0.53,0.57,0,0.15,1.06,0,0,0,9.62,3.3,2.2,60
430,2139,2139,Ethan Pinnock,JAM,CB,Brentford,B,29,1993,32,32,2694,29.9,0.03,0.6,0.27,44.4,0.06,0.13,9,0,0,0,39.5,52,75.9,796.5,300.5,13.3,15.5,86,19.7,24.9,79.1,5.99,10.5,57.2,0.03,0.33,2.24,0.23,0.1,1.94,52,44,7.99,1.37,0,6.56,0.64,0.94,0,0,0,0,28.2,9,14.8,33.1,3.91,5.15,6.59,0.1,39.5,0.23,0.7,1,0.57,0.67,0.47,0.1,0,0.1,0,0,0.1,0.03,0.03,0,0.03,0,0,2.11,1.27,1.54,0.5,0.07,0.67,1.2,55.6,0.54,9.4,3.41,36.3,5.59,3.14,0.67,1.64,0.43,0,1.2,1.87,3.98,5.85,0.03,64.4,10.3,35,24.2,7.49,1.84,56.7,0.17,0.27,62.5,0.2,0,26.8,135.4,73.9,1.3,0.27,0,0.43,0.23,33.7,32.1,95.3,0.43,0.03,0,0,0.4,0.64,0.03,0.94,1.27,0,0,0,11.7,5.05,2.37,68
431,2143,2143,Gerard Pique,ESP,CB,Barcelona,B,35,1987,27,25,2092,23.2,0.04,0.82,0.13,15.8,0.05,0.33,12.1,0.04,0,0,65,71.7,90.6,1473.3,396.9,14.7,16.3,90.7,37.2,38.7,96.1,12.5,15.9,78.6,0,0.09,5.56,0.13,0,4.7,71.7,69.3,2.46,1.98,0,6.38,3.41,0,0,0,0,0,56.2,4.31,11.3,4.22,61.4,3.36,0.22,0.17,65,0.17,0.65,0.91,0.26,0.99,0.69,0.04,0.04,0.13,0,0.09,0.22,0.13,0.04,0,0.04,0,0,0.95,0.69,0.69,0.26,0,0.3,0.52,58.3,0.22,7.16,3.06,42.8,3.45,3.49,0.22,1.42,0.69,0,0.73,1.51,2.46,4.7,0.04,81.2,11,39,45,2.72,1.21,79,0.26,0.26,100,0.26,0.04,54.7,319.4,191.9,5.3,0.69,0,0.22,0.17,58.6,57.2,97.5,0.09,0.43,0.04,0.04,1.47,0.69,0.04,0,0.69,0,0,0,11.8,3.84,1.85,67.4
433,2161,2161,Stefan Posch,AUT,CB,Hoffenheim,B,25,1997,28,26,2199,24.4,0.08,0.53,0.25,46.2,0.15,0.33,20.8,0.04,0,0,46.5,57.3,81.2,950.1,321.6,15.1,16.7,90.4,23.9,26.7,89.6,7.05,12.5,56.6,0,0.16,3.28,0.33,0.04,4.06,57.3,54.3,2.99,1.52,0.04,7.58,1.31,0.33,0,0,0,0,40.5,5.37,11.4,6.97,44.1,3.32,1.35,0.25,46.5,0.41,1.43,0.82,1.23,0.41,0.41,0,0,0,0,0,0.08,0.08,0,0,0,0,0,2.7,1.56,1.15,1.27,0.29,1.23,2.05,60,0.82,12.3,4.67,37.9,5,6.39,0.94,2.42,0.9,0.04,1.52,1.89,4.59,3.52,0,68.4,10.2,34.7,32.3,6.02,0.74,65.5,0.12,0.37,33.3,0.12,0,42.1,265.7,142,2.99,0.66,0.04,0.41,0.16,45.7,44.4,97,0.45,0.2,0,0,1.64,0.53,0.04,0.33,1.56,0,0,0,9.34,2.09,2.5,45.5
435,2205,2205,Antonio Raillo,ESP,CB,Mallorca,B,30,1991,17,17,1530,17,0.12,0.53,0.18,33.3,0.22,0.67,9.9,0,0,0,31.3,36.2,86.4,657.1,222.6,9.47,10.2,93.1,16.2,17.5,92.6,5.12,7.71,66.4,0,0,2,0,0,1.82,36.2,34.2,2,1.88,0,4.29,0.94,0.06,0,0,0,0,25.6,4.06,6.53,5.53,26.4,2.88,0.06,0.18,31.3,0.12,0.53,0.53,0.24,0.18,0.18,0,0,0,0,0,0,0,0,0,0,0,0,1.18,0.71,1,0.18,0,0.24,0.41,57.1,0.18,8.71,3.24,37.2,5.29,2.82,0.59,1.65,0.88,0,0.76,1.59,2.76,4.88,0.06,46.6,9,29.4,18.7,2.29,0.82,44.8,0,0,0,0,0,23.7,180.7,98,1.94,0.41,0.06,0.06,0.06,26.2,25.5,97.1,0.06,0.47,0,0,1.53,0.82,0.06,0.06,0.71,0,0,0.06,8.71,2.29,2.18,51.3
436,2212,2212,Adil Rami,FRA,CB,Troyes,B,36,1985,17,14,1171,13,0.23,0.46,0.23,50,0.5,1,6.4,0,0,0,33.8,39.9,84.8,788.4,303.5,10.5,11.6,90.1,15.4,16.9,90.9,7.77,10.8,71.6,0,0.08,1.69,0.15,0,1.62,39.9,38.4,1.54,1.23,0,4.54,2.62,0,0,0,0,0,29.2,3.31,7.46,4.46,33,1.23,0.31,0.08,33.8,0.15,1.62,0.54,0.38,0.38,0.31,0,0,0.08,0,0,0,0,0,0,0,0,0,1.38,1,0.77,0.54,0.08,0.92,1.15,80,0.23,6.54,2.23,34.1,3.85,2.54,0.15,1.15,0.62,0,0.54,1.38,2.77,3.31,0,47.6,8.38,30,18,2.15,0.77,46.2,0.31,0.46,66.7,0.38,0,28.5,143.4,72.2,1.23,0.38,0,0.46,0.15,32.2,31.1,96.7,0,0.08,0,0,0.62,0.38,0,0,1,0,0,0,7.23,1.85,1,64.9
441,2239,2239,Karim Rekik,NED,CB,Sevilla,B,27,1994,18,11,1098,12.2,0,0.33,0,0,0,0,8.3,0,0,0,56.8,62,91.5,1073.5,303.6,20.9,22.5,92.7,28.9,30.3,95.1,6.31,8.11,77.8,0.16,0.41,2.38,0.33,0.08,2.13,62,58.6,3.44,0.41,0.08,5.33,0.66,0.41,0,0,0,0,51.4,5.66,5,45.4,9.67,2.54,3.03,0.08,56.8,0.16,0.57,0.57,0.49,1.31,1.07,0,0,0,0,0.25,0.16,0.16,0,0,0,0,0,1.56,1.07,0.74,0.74,0.08,0.49,0.9,54.5,0.41,9.84,4.02,40.8,4.34,4.18,1.31,1.23,0.49,0,0.74,1.23,2.79,2.79,0,70.8,6.56,32.7,34.1,7.3,1.23,67.4,0.57,0.82,70,0.66,0,51.7,195.2,95.3,1.8,0.82,0.08,0.98,0.57,54.9,52,94.6,0.9,0.16,0,0,1.48,0.74,0.08,0.41,1.07,0,0,0,7.38,2.3,1.56,59.6
442,2253,2253,Chris Richards,USA,CB,Hoffenheim,B,22,2000,19,13,1304,14.5,0.07,0.69,0.07,10,0.1,1,6.6,0,0,0,57.9,66.8,86.7,1140.5,357.7,20.6,22.8,90.6,28.8,31.2,92.1,7.79,11.3,68.9,0.07,0.14,3.24,0.28,0,3.59,66.8,64.7,2.07,1.45,0,10.3,0.69,0,0,0,0,0,51.6,5.66,9.52,20.2,39,4,0.28,0.21,57.9,0,0.76,1.59,0.76,0.62,0.48,0,0,0.14,0,0,0.28,0.21,0,0,0.07,0,0,2,1.24,0.83,0.97,0.21,0.55,1.03,53.3,0.48,11.8,5.17,43.9,5.66,5.1,1.03,2.55,0.83,0,1.72,2.62,4.62,4.28,0.07,79.5,9.86,39,40.2,3.93,1.24,77.5,0.14,0.21,66.7,0.14,0,48.9,287.4,111.9,2.69,0.55,0.07,0.21,0.28,54.1,52.9,97.7,0.14,0.07,0,0,0.9,0.14,0,0,1.24,0,0,0,11,4.76,2.48,65.7
446,2271,2271,Rober,ESP,CB,Levante,B,27,1995,27,21,2010,22.3,0.04,0.36,0.04,12.5,0.13,1,7,0,0,0,37.9,46.7,81.2,786.7,332.2,12.9,13.9,92.6,18,20.1,89.7,6.73,11.8,56.8,0,0.22,2.51,0.13,0.04,3.09,46.7,45,1.7,1.48,0,5.47,1.17,0.18,0,0,0,0,30.5,4.89,11.3,7.35,35.3,2.83,0.13,0.49,37.9,0.09,1.35,1.08,0.72,0.76,0.72,0,0,0.04,0,0,0.13,0.09,0,0,0.04,0,0,2.02,1.26,1.39,0.49,0.13,1.08,1.61,66.7,0.54,11.7,4.26,36.5,6.37,4.26,1.03,1.57,0.76,0,0.81,2.51,4.53,4.39,0.04,56.9,8.65,33.6,23.5,3.5,0.58,55.2,0.18,0.22,80,0.18,0,33.6,191.1,105.2,2.56,0.85,0,0.31,0.18,34.6,33.7,97.4,0.13,0.22,0.04,0.04,1.7,0.58,0,0.18,1.26,0,0.04,0,9.69,1.39,1.61,46.3
449,2280,2280,Enzo Roco,CHI,CB,Elche,B,29,1992,30,29,2552,28.4,0.04,0.39,0.11,27.3,0.09,0.33,9.8,0,0,0,33.5,40,83.7,775.8,252,8.42,9.33,90.2,17.1,18.6,91.7,7.75,11.4,68.1,0,0.07,1.44,0.07,0,1.48,40,37.6,2.36,2.32,0,4.72,1.73,0,0,0,0,0,26.5,4.19,9.3,4.61,31,2.64,0.04,0.21,33.5,0.18,0.92,0.53,0.35,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0.81,0.92,0.46,0.04,0.42,1.09,38.7,0.67,9.96,3.24,32.5,6.27,3.35,0.35,2.04,1.09,0.04,0.95,1.8,3.2,4.89,0.14,50.2,9.05,30.1,21.1,1.27,0.53,48.1,0.11,0.28,37.5,0.14,0,26.7,137.8,65.7,1.51,0.11,0,0.18,0.21,29.1,28.4,97.5,0.21,0.35,0,0,1.41,0.39,0.04,0,0.81,0,0.07,0,8.13,2.82,1.27,69
450,2281,2281,Stian Rode Gregersen,NOR,CB,Bordeaux,B,27,1995,24,22,1953,21.7,0.05,0.28,0.09,33.3,0.17,0.5,8.1,0,0,0,36.3,42.5,85.3,723.3,264.5,11.8,12.9,91.4,18.9,21.2,89.3,4.88,7.14,68.4,0.05,0.14,1.94,0.23,0.09,1.75,42.5,41.4,1.11,0.65,0,4.79,0.92,0.23,0,0,0,0,32.4,3.36,6.73,3.18,35.5,2.03,0.46,0.14,36.3,0.09,0.92,0.97,0.65,0.32,0.23,0,0,0,0.05,0.05,0.09,0.09,0,0,0,0,0,2.3,1.47,1.29,0.83,0.18,0.65,1.29,50,0.65,11.7,4.75,40.7,6.77,4.19,0.69,1.89,0.97,0.09,0.92,2.67,4.98,4.52,0.05,54.1,8.89,32.9,21.5,3.04,0.6,53.2,0.32,0.55,58.3,0.41,0.05,31.8,171.1,94.2,2.03,0.74,0.09,0.18,0.28,33.6,33.1,98.5,0.28,0.32,0,0,1.06,1.06,0.05,0.23,1.47,0,0.09,0,7.37,2.17,1.38,61
451,2295,2295,Ricardo Rodriguez,SUI,CB,Torino,B,29,1992,34,28,2473,27.5,0,0.33,0,0,0,0,26.1,0.11,0,0,45.8,53.1,86.2,872.3,310.4,19.3,20.7,93.3,20.1,21.8,92.5,5.75,9.45,60.8,0.04,0.84,3.64,0.25,0.07,3.38,53.1,49.9,3.27,1.24,0,7.56,2.84,0.44,1.64,0.95,0.62,0,39.7,3.6,9.82,36.6,12.8,1.82,0.4,0.15,45.8,0.33,0.76,0.58,0.69,1.35,0.62,0.62,0,0.11,0,0,0.11,0.04,0.04,0,0.04,0,0,1.71,0.87,0.69,0.91,0.11,0.62,1.24,50,0.62,11.3,4,35.3,4.4,5.82,1.13,1.24,0.29,0.04,0.95,1.85,3.56,2.58,0.04,60.9,4.25,23,33.5,9.27,0.47,57.7,0.15,0.18,80,0.15,0,41.3,243.7,135.2,4.95,1.85,0.11,0.25,0.11,41.1,40.5,98.5,0.47,0.11,0,0,1.09,0.47,0,0.44,0.87,0,0.04,0,8.58,2.22,1.53,59.2
454,2300,2300,Alessio Romagnoli,ITA,CB,Milan,A,27,1995,19,16,1409,15.7,0.06,0.76,0.32,41.7,0.08,0.2,12,0,0,0,55.9,62.4,89.5,1138.5,359.5,15.4,17.3,89,31.1,32.6,95.3,7.77,10.2,76.3,0,0.19,3.57,0.13,0,3.82,62.4,59.4,3.06,2.1,0,4.9,0.76,0.06,0,0,0,0,48.4,5.1,8.92,49.7,8.03,2.17,0.13,0.32,55.9,0.06,0.51,0.76,0.7,0.64,0.57,0,0,0.06,0,0,0.13,0.13,0,0,0,0,0,1.59,0.89,0.89,0.7,0,0.64,0.96,66.7,0.32,9.36,3.25,34.7,4.08,4.71,0.57,1.66,0.7,0.06,0.96,1.78,3.38,3.18,0,70.8,7.9,34.3,37.1,3.12,1.27,67.8,0.13,0.13,100,0.13,0,45,213.6,91.3,2.17,0.32,0,0.06,0.06,51,49.2,96.6,0.32,0.25,0.06,0,1.15,0.89,0.19,0.06,0.89,0,0.06,0,9.68,3.25,1.66,66.2
455,2301,2301,Simone Romagnoli,ITA,CB,Empoli,B,32,1990,19,17,1497,16.6,0.12,0.3,0.12,40,0.4,1,5.7,0,0,0,36.7,46.5,78.9,800.8,344.9,10.4,11.8,87.8,19.2,22.1,86.6,6.69,11.6,57.5,0,0.3,2.89,0.48,0,2.83,46.5,42.9,3.61,2.53,0,6.27,0.42,0.18,0,0,0,0,28.9,5.36,12.2,6.57,34.7,2.89,0.06,0.06,36.7,0.42,0.84,1.39,0.3,0.66,0.54,0.06,0,0,0,0.06,0.06,0.06,0,0,0,0,0,1.57,0.84,0.96,0.48,0.12,0.48,0.72,66.7,0.24,10.7,3.43,32.2,6.08,3.8,0.78,2.47,1.69,0,0.78,1.33,2.89,5.72,0,57.4,12.7,34.6,24.1,2.29,0.84,53.9,0.06,0.18,33.3,0.06,0,29.2,218.5,118.2,1.14,0.3,0,0.18,0,31,30.6,98.6,0.12,0.18,0,0,1.02,0.24,0,0.18,0.84,0,0.06,0.06,11.1,3.98,2.05,66
456,2303,2303,Cristian Romero,ARG,CB,Tottenham,A,24,1998,22,21,1844,20.5,0.05,0.29,0.1,33.3,0.17,0.5,13.3,0,0,0,54.5,62.3,87.4,1073.3,346.1,19.4,21.2,91.7,27.2,28.8,94.4,7.32,10.8,67.6,0,0.29,2.83,0.34,0,2.54,62.3,60.3,2,1.56,0.05,7.8,1.41,0.1,0,0,0,0,49.2,5.32,7.8,2.73,55.3,2.2,0.44,0.39,54.5,0.05,0.68,1.46,1.02,0.83,0.68,0.05,0,0,0.05,0.05,0.1,0.05,0,0,0,0,0.05,3.66,2.2,2.1,1.46,0.1,1.22,2.1,58.1,0.88,15.5,5.51,35.6,9.51,4.78,1.17,2.44,1.12,0,1.32,2.78,6.44,3.8,0.05,74.8,12.6,40.8,34.9,4.29,0.88,73.1,0.44,0.68,64.3,0.49,0,50,267,151.1,3.85,1.02,0.1,0.54,0.39,51.2,49.7,97.1,0.34,0.39,0,0,1.76,0.83,0.1,0.1,2.2,0,0.05,0,9.71,2.44,1.46,62.5
458,2322,2322,Amir Rrahmani,KVX,CB,Napoli,A,28,1994,33,33,2927,32.5,0.12,0.68,0.28,40.9,0.18,0.44,8.5,0,0,0,56.2,61.5,91.3,1129,357.9,19.7,20.9,94,27.7,29.3,94.6,7.91,10.1,78.4,0,0.15,2.83,0.09,0,2.28,61.5,58.5,3.02,1.69,0,5.97,1.66,0.06,0,0,0,0,48.7,4.8,8,5.57,51.2,2.71,0.12,0.15,56.2,0.09,0.62,0.43,0.22,0.52,0.49,0,0,0.03,0,0,0.09,0.09,0,0,0,0,0,1.08,0.65,0.65,0.37,0.06,0.52,0.62,85,0.09,7.32,2.74,37.4,4,2.95,0.37,1.54,0.8,0,0.74,1.11,2.18,2.86,0.03,68.6,10.2,36.2,33.5,2.55,0.92,65.8,0.12,0.15,80,0.12,0,44.3,211.3,110.5,2.49,0.34,0,0.15,0.28,49.6,49.1,98.9,0.12,0.15,0,0,0.77,0.77,0,0.06,0.65,0,0,0,8.77,2.98,1.26,70.3
459,2326,2326,Antonio Rudiger,GER,CB,Chelsea,A,29,1993,34,34,3035,33.7,0.09,1.42,0.39,27.1,0.06,0.23,19.5,0,0,0,64.2,72.6,88.4,1370.2,409.4,19.5,20.7,94.1,33.7,35.9,94,10.6,15,70.6,0,0.39,6.53,0.86,0.12,4.78,72.6,70.9,1.69,1.34,0.12,7.09,2.49,0.42,0,0,0,0,57.1,4.54,11,19.3,49.8,1.99,0.36,0.15,64.2,0.27,0.92,1.25,0.59,1.16,1.01,0,0.03,0.06,0.06,0,0.24,0.15,0,0,0.03,0.06,0,1.57,0.83,0.89,0.62,0.06,0.89,1.36,65.2,0.47,8.72,2.73,31.3,4.33,3.41,0.98,1.22,0.39,0,0.83,1.28,2.85,3.26,0.03,81.9,6.71,32.3,46.4,9.29,1.45,80.3,0.18,0.3,60,0.21,0.03,59.6,284,167.1,5.55,1.87,0.09,0.27,0.53,65.2,63.6,97.5,0.5,0.27,0,0,1.22,0.47,0,0.42,0.83,0.06,0,0,8.43,1.99,0.89,69.1
461,2334,2334,Victor Ruiz,ESP,CB,Betis,B,33,1989,18,17,1424,15.8,0,0.51,0.06,12.5,0,0,7.1,0,0,0,49.6,56.8,87.2,1083.4,394.4,14.2,15.5,91.4,24.8,27,92,9.87,13.1,75.4,0,0.32,2.53,0.19,0,2.59,56.8,54.7,2.09,1.84,0,7.28,1.77,0,0,0,0,0,43.7,3.54,9.62,40.1,10.7,3.42,0.25,0.32,49.6,0.13,0.7,0.82,0.51,0.57,0.44,0,0,0.06,0,0.06,0.06,0.06,0,0,0,0,0,0.7,0.38,0.32,0.25,0.13,0.25,0.38,66.7,0.13,5.7,2.09,36.7,2.66,2.66,0.38,1.84,0.95,0,0.89,2.66,3.35,4.56,0.13,66.8,9.24,35.2,33.9,1.96,0.76,64.8,0.13,0.13,100,0.13,0,37.7,211.8,101.9,2.03,0.25,0,0.19,0.19,43.1,42.3,98.2,0.13,0.13,0,0,0.82,0.13,0.13,0,0.38,0,0,0,10.9,3.54,1.58,69.1
462,2338,2338,Franco Russo,ARG,CB,Mallorca,B,27,1994,19,17,1464,16.3,0.06,0.37,0.12,33.3,0.17,0.5,12.4,0,0,0,30.5,40.1,76.1,709.3,275.5,8.04,9.82,81.9,14.5,17.5,82.5,7.48,11.7,64.2,0,0,1.53,0.06,0,2.33,40.1,37.4,2.64,2.27,0,5.71,1.17,0,0,0,0,0,24.6,4.23,11.2,4.29,30.4,3.31,0.12,0.18,30.5,0.06,0.86,1.23,0.55,0.25,0.06,0,0,0.06,0,0.12,0,0,0,0,0,0,0,1.29,0.8,0.8,0.43,0.06,0.31,1.04,29.4,0.74,8.22,2.58,31.3,4.66,3.01,0.55,1.96,0.86,0,1.1,2.45,3.74,4.6,0.12,51,8.96,28.5,22.8,2.27,1.1,48.5,0.25,0.43,57.1,0.25,0.06,24.4,138.9,56.3,1.41,0.12,0,0.37,0.12,27.9,26.3,94.3,0.31,0.43,0.12,0.12,1.47,0.61,0.06,0,0.8,0,0,0.06,10.4,2.33,1.78,56.7
464,2356,2356,Romain Saiss,MAR,CB,Wolves,B,32,1990,31,31,2705,30.1,0.07,0.6,0.2,33.3,0.11,0.33,11.8,0.03,0,0,47,57.1,82.4,981.9,459.5,14.6,16,91.1,24.9,28.1,88.4,7.21,11.9,60.4,0,0.2,4.98,0.07,0,3.99,57.1,55.3,1.76,1.33,0,5.51,1.3,0.23,0,0,0,0,40.8,4.82,11.5,46,5.95,3.29,0.43,0.07,47,0.17,0.8,1.83,0.83,0.5,0.47,0,0,0.03,0,0,0,0,0,0,0,0,0,1.99,1.26,1.33,0.56,0.1,0.6,1.06,56.3,0.47,9.4,3.42,36.4,5.38,3.36,0.66,2.03,0.8,0,1.23,2.69,4.68,5.75,0.03,70.1,10.1,40,28.9,4.22,1.16,68.5,0.17,0.27,62.5,0.2,0.03,40.4,182.8,97.1,2.43,0.63,0.03,0.17,0.27,46.9,45.6,97.3,0.2,0.2,0,0,1.16,0.6,0.1,0.23,1.26,0,0.07,0,8.64,2.79,1.43,66.1
465,2358,2358,Mamadou Sakho,FRA,CB,Montpellier,B,32,1990,29,29,2575,28.6,0,0.03,0,0,0,0,5.8,0,0,0,49.3,55,89.6,963,398.5,16.4,17.3,95.1,25.6,27.2,94,6.36,9.2,69.2,0,0.07,2.27,0.07,0,3.18,55,52.8,2.17,1.85,0.03,5.14,0.63,0,0,0,0,0,44.2,3.57,7.2,41.7,9.44,2.38,0.1,0.1,49.3,0.07,0.7,0.77,0.31,0.31,0.31,0,0,0,0,0,0.03,0.03,0,0,0,0,0,1.47,0.73,1.19,0.21,0.07,0.63,0.87,72,0.24,5.03,2.06,41,3.53,1.29,0.21,2.1,1.29,0.03,0.8,2.27,3.74,4.72,0,65.7,13.3,40.6,27.9,0.73,0.28,63.6,0.31,0.42,75,0.31,0,39.7,188.3,100.1,1.71,0.07,0.03,0.21,0.24,42.7,42.3,99,0,0.1,0,0,0.31,0.24,0,0,0.73,0,0.03,0,9.34,2.2,1.36,61.8
466,2363,2363,William Saliba,FRA,CB,Marseille,A,21,2001,36,36,3240,36,0,0.44,0.08,18.8,0,0,10.3,0,0,0,79.6,84.9,93.7,1576.4,464.3,25.7,27.1,94.7,43.8,45.3,96.6,9.69,11.3,85.5,0,0.17,5.11,0.42,0.06,4.61,84.9,82.4,2.58,1.97,0.06,8.17,1.33,0.17,0,0,0,0,76.1,4.22,4.61,3.92,77.9,1.33,0.58,0.17,79.6,0.06,0.64,1.25,0.67,0.58,0.53,0,0,0.06,0,0,0.08,0.06,0,0,0.03,0,0,1.81,1.17,1.31,0.42,0.08,0.42,0.89,46.9,0.47,8.25,3.86,46.8,4.58,3.19,0.47,1.36,0.47,0,0.89,2.22,4.03,2.53,0.06,93.1,7.97,39.8,55.1,5.19,1.03,90.8,0.75,1.03,73,0.75,0.11,70.3,393,232.4,6.75,0.67,0.08,0.33,0.58,74.1,72.8,98.2,0.28,0.14,0,0,0.47,0.36,0.03,0.17,1.17,0,0,0,8.67,1.69,1.06,61.6
467,2365,2365,Mohammed Salisu,GHA,CB,Southampton,B,23,1999,34,33,2972,33,0,0.76,0.24,32,0,0,11,0,0,0,41.7,53.9,77.2,818.7,342.4,15.1,17.4,86.4,21.2,25.1,84.3,5.09,10.4,48.8,0,0.24,4.52,0.21,0.06,3.58,53.9,50,3.97,1.12,0.03,8.09,0.61,0.79,0,0,0,0,35.7,3.97,14.2,41.8,3.76,3.42,2.82,0.12,41.7,0.06,1.06,1.36,0.7,0.82,0.64,0.03,0,0.09,0,0.06,0.09,0.09,0,0,0,0,0,2.76,1.82,1.91,0.76,0.09,1.24,2.18,56.9,0.94,11,4.48,40.7,6.61,3.73,0.7,2.09,0.85,0.03,1.24,2.82,5.58,5.94,0.15,68,9.09,32.5,33,6.24,1.03,64.1,0.27,0.42,64.3,0.27,0,36.7,227.4,106,3.36,0.55,0,0.24,0.52,37.8,36.8,97.3,0.15,0.3,0.03,0.03,1.48,0.39,0.06,0.79,1.82,0,0,0.03,12,3.88,1.88,67.4
468,2367,2367,Yoann Salmier,GUF,CB,Troyes,B,29,1992,31,30,2668,29.6,0,0.3,0.03,11.1,0,0,16,0,0,0,38.1,44.9,84.7,747.8,273.4,15.1,16.3,92.3,16.8,18.8,89.6,5.34,8.24,64.8,0.03,0.27,1.99,0.14,0.03,2.5,44.9,41.1,3.78,1.79,0.07,5.07,1.28,0.24,0,0,0,0,32.9,5,6.99,7.67,32.1,2.06,1.99,0.27,38.1,0.07,0.81,1.11,0.81,0.68,0.57,0,0.03,0.03,0,0.03,0.03,0,0,0,0.03,0,0,2.03,1.32,1.39,0.61,0.03,0.51,1.01,50,0.51,8.65,3.41,39.5,5.34,2.8,0.51,1.59,0.47,0,1.11,2.26,4.29,3.24,0.03,54.8,5.88,30,25,4.22,0.54,51.2,0.44,0.54,81.3,0.44,0.03,32.9,209.4,106.7,2.53,1.08,0,0.41,0.44,33,31.8,96.4,0.17,0.17,0,0,1.18,0.98,0.03,0.24,1.32,0,0.1,0.03,8.72,1.93,1.01,65.5
